SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,TICKER,EXPIRY
NSE,D,41037,OPTSTK,0,EXIDEIND-Aug2024-260-CE,1800.0,EXIDEIND 29 AUG 260 CALL,2024-08-29 14:30:00,260.0,CE,5.0,M,OP,,,EXIDEIND,Aug2024
NSE,D,41047,OPTSTK,0,EXIDEIND-Aug2024-260-PE,1800.0,EXIDEIND 29 AUG 260 PUT,2024-08-29 14:30:00,260.0,PE,5.0,M,OP,,,EXIDEIND,Aug2024
NSE,D,41049,OPTSTK,0,GMRINFRA-Aug2024-50-CE,11250.0,GMRINFRA 29 AUG 50 CALL,2024-08-29 14:30:00,50.0,CE,5.0,M,OP,,,GMRINFRA,Aug2024
NSE,D,41050,OPTSTK,0,GMRINFRA-Aug2024-50-PE,11250.0,GMRINFRA 29 AUG 50 PUT,2024-08-29 14:30:00,50.0,PE,5.0,M,OP,,,GMRINFRA,Aug2024
NSE,D,41052,OPTSTK,0,GMRINFRA-Aug2024-67.5-CE,11250.0,GMRINFRA 29 AUG 67.50 CALL,2024-08-29 14:30:00,67.5,CE,5.0,M,OP,,,GMRINFRA,Aug2024
NSE,D,41053,OPTSTK,0,GMRINFRA-Aug2024-67.5-PE,11250.0,GMRINFRA 29 AUG 67.50 PUT,2024-08-29 14:30:00,67.5,PE,5.0,M,OP,,,GMRINFRA,Aug2024
NSE,D,41056,OPTSTK,0,GODREJPROP-Aug2024-1500-CE,225.0,GODREJPROP 29 AUG 1500 CALL,2024-08-29 14:30:00,1500.0,CE,5.0,M,OP,,,GODREJPROP,Aug2024
NSE,D,41058,OPTSTK,0,GNFC-Aug2024-890-CE,1300.0,GNFC 29 AUG 890 CALL,2024-08-29 14:30:00,890.0,CE,5.0,M,OP,,,GNFC,Aug2024
NSE,D,41059,OPTSTK,0,GODREJPROP-Aug2024-1500-PE,225.0,GODREJPROP 29 AUG 1500 PUT,2024-08-29 14:30:00,1500.0,PE,5.0,M,OP,,,GODREJPROP,Aug2024
NSE,D,41060,OPTSTK,0,GODREJPROP-Aug2024-2150-CE,225.0,GODREJPROP 29 AUG 2150 CALL,2024-08-29 14:30:00,2150.0,CE,5.0,M,OP,,,GODREJPROP,Aug2024
